region,artist_name,title,permalink,machine_clusters
Europe,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/,"Arts,Mass media,History"
Europe,Claire Fontaine,Foreigners Everywhere (Italian),https://kadist.org/work/foreigners-everywhere-italian/,"Politics,Emotion,Economy"
Americas,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/,"Physics,Materiality,Time"
Americas,Nicolás Consuegra,Nadie sabe de la sed con que otro bebe (No one knows the thirst with which another drinks),https://kadist.org/work/nadie-sabe-con-la-sed-que-otro-bebe/,"Physics,Immaterial"
Americas,Javier M. Rodríguez,Going Round and Round in a Line ST (12m),https://kadist.org/work/going-round-and-round-in-a-line-st-12m/,"Design,Geopolitics,Body"
Unspecified,Jazmín López,Juego Vivo,https://kadist.org/work/juego-vivo/,"Fantasy,Violence,Mind"
Asia,Chitti Kasemkitvatana,mo(nu)ment/mem(y)orial(another transmission,https://kadist.org/work/monumentmemyorialanother-transmission/,"Mass media,Arts,Mind"
Europe,Asier Mendizabal,"Rotation (Moiré, Rome)",https://kadist.org/work/rotation-moire-rome/,"Culture,Community,History"
Americas,Arabella Campbell,Gradation,https://kadist.org/work/gradation/,Materiality
Europe,Clément Rodzielski,Untitled,https://kadist.org/work/sans-titre/,"Design,Time,Mind"
Unspecified,Imran Qureshi,You who are my love and my life’s enemy too,https://kadist.org/work/you-who-are-my-love-and-my-lifes-enemy-too/,"Spirituality,Colonization,Mass media"
Europe,Bettina Pousttchi,Echo 8,https://kadist.org/work/echo-8/,"Arts,Mind,Culture"
Europe,Ciprian Muresan,Untitled (Monks),https://kadist.org/work/untitled-monks/,"Arts,Fantasy,Culture"
Europe,Lydia Gifford,Warder,https://kadist.org/work/warder/,"Land,Space,Body"
Europe,Mike Cooter,Forensic Poster,https://kadist.org/work/forensic-poster/,"Mind,Culture,Time"
Americas,Larry Bell,VFGY9,https://kadist.org/work/vfgy9/,"Space,Physics,Environmental"
Americas,Larry Bell,Untitled (Construction),https://kadist.org/work/untitled-construction/,"Technology,Familial,Arts"
Americas,Stephen Beal,Beau Soleil #7,https://kadist.org/work/beau-soleil-7/,"Arts,Materiality,Culture"
Americas,John Baldessari,"Person with Pillow: Desire, Lust, Fate",https://kadist.org/work/person-with-pillow-desire-lust-fate/,"Emotion,Violence,Space"
Americas,John Baldessari,One Must,https://kadist.org/work/one-must/,"Arts,Violence,Activism"
