region,artist_name,title,permalink,machine_clusters
Americas,Bruce Conner,"27 Punk Photos: 11. Dim Wanker: F Word, May, 1978",https://kadist.org/work/27-punk-photos-11-dim-wanker-f-word-may-1978/,"Urbanization,Media,History"
Americas,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/,"Emotion,Mind,Spirituality"
Asia,Jiang Zhi,Tremble,https://kadist.org/work/tremble/,"Spirituality,Familial,Culture"
Asia,Qing Zhang,603 Football Field,https://kadist.org/work/603-football-field/,"Media,Politics,Culture"
Unspecified,Wibowo Woto aka Wok the Rock,Vertical Horizon,https://kadist.org/work/vertical-horizon/,"Media,Technology,Body"
Americas,Adriano Costa,Westminster Agua Viva,https://kadist.org/work/westminster-agua-viva/,"Economy,Design,Media"
Middle East & Africa,Etel Adnan,Untitled (Beirut),https://kadist.org/work/untitled-beirut/,"Materiality,Urbanization,Land"
Europe,Andrei Monastyrski,Golden Lines,https://kadist.org/work/golden-lines/,"Activism,Power,Land"
Europe,Andrei Monastyrski,Aktionsplan (Map),https://kadist.org/work/aktionsplan/,"Activism,Design,Power"
Europe,Taus Makhacheva,Let Me Be Part of a Narrative,https://kadist.org/work/let-me-be-part-narrative/,"Emotion,Spirituality,Power"
Americas,Tim Lee,"Party for your right to fight, public enemy, 1988",https://kadist.org/work/party-for-your-right-to-fight-public-enemy-1988/,"History,Technology,Mind"
Americas,Tim Lee,"Untitled (Alexander Rodchenko, 1928)",https://kadist.org/work/untitled-alexander-rodchenko-1928/,"Identity,History,Mind"
Americas,Luisa Lambri,Untitled (Sten-Frenke House #04),https://kadist.org/work/untitled-sten-frenke-house-04/,"Materiality,Space,Land"
Americas,Luisa Lambri,"Untitled (Miller House, #02)",https://kadist.org/work/untitled-miller-house-02/,"Materiality,Immaterial,Land"
Americas,Paul Kos,Sound of Ice Melting,https://kadist.org/work/sound-of-ice-melting/,"Mind,Time,Spirituality"
Americas,Edward Kienholz,Untitled (San Francisco),https://kadist.org/work/untitled-san-francisco/,"Urbanization,Land,Culture"
Americas,Mike Kelley,"Towhead n’Ganga enclosed in darkness, lorded over by the sexualized folded high priestless form",https://kadist.org/work/towhead-nganga-enclosed-in-darkness-lorded-over-by-the-sexualized-folded-high-priestless-form/,"Time,Materiality,Spirituality"
Americas,Jordan Kantor,Eclipse,https://kadist.org/work/eclipse/,"Physics,Power,Time"
Americas,Jordan Kantor,Lens Flare,https://kadist.org/work/lens-flare/,"Media,Technology,Time"
Americas,Rodney Graham,Dance!!!,https://kadist.org/work/dance/,"Values,Technology,Politics"
Americas,Tina Modotti,"Diego Rivera Mural: Billionaires Club; Ministry of Education, Mexico D.F., Third Gallery",https://kadist.org/work/diego-rivera-mural-billionaires-club-ministry-of-education-mexico-d-f-third-gallery/,"Economy,Politics,Land"
Europe,Piero Golia,Untitled #1 #2 #3,https://kadist.org/work/untitled-1-2-3/,"Technology,Time,Violence"
Americas,Rachel Foster,Editioned Screenprints,https://kadist.org/work/editioned-screenprints/,"Language,Power,Mind"
Americas,Dr. Lakra,Cortes y la malinche,https://kadist.org/work/cortes-y-la-malinche/,"Land,Design,Urbanization"
Americas,Harrell Fletcher,The American War,https://kadist.org/work/the-american-war/,"Politics,War,Violence"
Unspecified,Yoan Capote,Open Mind,https://kadist.org/work/open-mind/,"Time,Materiality,Emotion"
Americas,Cildo Meireles,Sal Sem Carne,https://kadist.org/work/sal-sem-carne/,"History,Language,Environmental"
Americas,Geoffrey Farmer,Ongoing Time Stabbed with a Dagger,https://kadist.org/work/ongoing-time-stabbed-with-a-dagger/,"Time,History,Space"
Americas,Stan Douglas,Dice,https://kadist.org/work/dice/,"Media,History,Violence"
Unspecified,Pedro Reyes,Study for a Recycling Device,https://kadist.org/work/study-for-a-recycling-device/,"Technology,Mind,History"
Unspecified,Juan Araujo,Residencia Milan 1,https://kadist.org/work/residencia-milan-1/,"Land,Values,Media"
Unspecified,Alexandre da Cunha,Laissez-Faire (Rainbow Flag),https://kadist.org/work/laissez-faire-rainbow-flag/,"Materiality,Design,Economy"
